date,governorate,n_infected,n_recovered,n_dead
"21:11, 26 March 2020",Sfax,7,0,1
"19:08, 26 March 2020",Kébili,5,0,0
"19:08, 26 March 2020",Kef,1,0,1
"09:49, 27 March 2020",Ariana,31,0,1
"09:49, 27 March 2020",Ben Arous,17,0,0
"09:49, 27 March 2020",Manouba,3,0,0
"21:11, 26 March 2020",Gafsa,1,1,0
"21:11, 26 March 2020",Kairouan,2,0,0
"21:11, 26 March 2020",Tataouine,6,0,0
"19:08, 26 March 2020",Kasserine,5,0,0
"19:08, 26 March 2020",Zaghouan,2,0,0
"09:32, 27 March 2020",Tunis,48,0,0
"09:49, 27 March 2020",Bizerte,4,0,0
"09:49, 27 March 2020",Mahdia,3,0,1
"09:49, 27 March 2020",Monastir,13,0,0
"21:11, 26 March 2020",Gabès,4,0,0
"21:11, 26 March 2020",Kébili,5,0,0
"21:11, 26 March 2020",Kef,1,0,1
"11:27, 27 March 2020",Tunis,48,0,0
"09:32, 27 March 2020",Ariana,31,0,1
"09:32, 27 March 2020",Ben Arous,17,0,0
"09:32, 27 March 2020",Manouba,3,0,0
"09:49, 27 March 2020",Médenine,12,0,0
"09:49, 27 March 2020",Nabeul,2,0,0
"21:11, 26 March 2020",Kasserine,5,0,0
"21:11, 26 March 2020",Zaghouan,2,0,0
"11:27, 27 March 2020",Ariana,31,0,1
"11:27, 27 March 2020",Ben Arous,17,0,0
"09:32, 27 March 2020",Bizerte,4,0,0
"09:32, 27 March 2020",Mahdia,3,0,1
"09:49, 27 March 2020",Sousse,13,0,1
"09:49, 27 March 2020",Sfax,7,0,1
"09:49, 27 March 2020",Gafsa,1,1,0
"11:27, 27 March 2020",Manouba,3,0,0
"11:27, 27 March 2020",Bizerte,4,0,0
"11:27, 27 March 2020",Mahdia,3,0,1
"09:32, 27 March 2020",Monastir,13,0,0
"09:32, 27 March 2020",Médenine,12,0,0
"09:49, 27 March 2020",Kairouan,2,0,0
"09:49, 27 March 2020",Tataouine,6,0,0
"11:27, 27 March 2020",Monastir,13,0,0
"11:27, 27 March 2020",Médenine,12,0,0
"09:32, 27 March 2020",Nabeul,2,0,0
"09:32, 27 March 2020",Sousse,13,0,1
"09:32, 27 March 2020",Sfax,7,0,1
"09:49, 27 March 2020",Gabès,4,0,0
"09:49, 27 March 2020",Kébili,5,0,0
"09:49, 27 March 2020",Kef,1,0,1
"11:27, 27 March 2020",Nabeul,2,0,0
"11:27, 27 March 2020",Sousse,13,0,1
"11:27, 27 March 2020",Sfax,7,0,1
"09:32, 27 March 2020",Gafsa,1,1,0
"09:32, 27 March 2020",Kairouan,2,0,0
"09:32, 27 March 2020",Tataouine,6,0,0
"09:49, 27 March 2020",Kasserine,5,0,0
"09:49, 27 March 2020",Zaghouan,2,0,0
"11:27, 27 March 2020",Gafsa,1,1,0
"11:27, 27 March 2020",Kairouan,2,0,0
"09:32, 27 March 2020",Gabès,4,0,0
"09:32, 27 March 2020",Kébili,5,0,0
"09:32, 27 March 2020",Kef,1,0,1
"11:27, 27 March 2020",Tataouine,6,0,0
"11:27, 27 March 2020",Gabès,4,0,0
"09:32, 27 March 2020",Kasserine,5,0,0
"09:32, 27 March 2020",Zaghouan,2,0,0
